Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,100,[43124.31       46906.30773107],[6115.34777211 6111.54019932],[30023.         33619.01187282],[60026.        63711.0409613],"[9, 83, 11, 75, 14, 10, 36, 59, 39, 61, 30, 43, 78, 3, 7, 79, 12, 92, 58, 68, 72, 46, 71, 24, 96, 26, 73, 60, 4, 65, 8, 88, 93, 18, 97, 32, 41, 37, 66, 87, 84, 62, 55, 67, 85, 99, 94, 82, 77, 52, 70, 50, 27, 54, 81, 48, 40, 6, 42, 34, 51, 45, 90, 100, 44, 23, 56, 95, 64, 20, 35, 1, 76, 17, 89, 86, 38, 13, 74, 15, 19, 53, 33, 49, 98, 22, 80, 25, 5, 91, 47, 21, 31, 63, 2, 69, 16, 57, 29, 28]","(30023.0, 33619.01187281774)"
1,88,[39023.9        42732.77025546],[3000.3        2984.95791734],[30023.         33587.99481392],[40024.         43832.43612812],"[9, 83, 11, 75, 14, 10, 36, 59, 39, 61, 30, 43, 78, 3, 7, 79, 12, 92, 58, 68, 72, 46, 71, 24, 96, 26, 73, 60, 4, 65, 8, 88, 93, 18, 97, 32, 41, 37, 66, 87, 84, 70, 55, 67, 85, 99, 94, 82, 77, 52, 62, 50, 27, 54, 81, 48, 40, 6, 42, 34, 51, 45, 90, 100, 44, 23, 56, 95, 64, 20, 35, 1, 76, 17, 89, 86, 38, 13, 74, 15, 19, 53, 33, 49, 98, 22, 80, 25, 5, 91, 47, 21, 31, 63, 2, 69, 16, 57, 29, 28]","(30023.0, 33587.9948139175)"
2,72,[37823.78       41475.27850533],[4142.87728175 4093.23238422],[30023.         33587.99481392],[40024.         43718.78421764],"[9, 83, 11, 75, 14, 10, 36, 59, 39, 61, 30, 43, 78, 3, 7, 79, 12, 92, 58, 68, 72, 46, 71, 24, 96, 26, 73, 60, 4, 65, 8, 88, 93, 18, 97, 32, 41, 37, 66, 87, 84, 70, 55, 67, 85, 99, 94, 82, 77, 52, 62, 50, 27, 54, 81, 48, 40, 6, 42, 34, 51, 45, 90, 100, 44, 23, 56, 95, 64, 20, 35, 1, 76, 17, 89, 86, 38, 13, 74, 15, 19, 53, 33, 49, 98, 22, 80, 25, 5, 91, 47, 21, 31, 63, 2, 69, 16, 57, 29, 28]","(30023.0, 33587.9948139175)"
3,90,[35223.52      38873.6599689],[4996.49799856 4909.25665809],[30023.         33513.81670359],[40024.         43650.16797848],"[14, 39, 80, 90, 55, 62, 24, 51, 78, 61, 54, 48, 93, 38, 45, 8, 30, 49, 32, 68, 94, 91, 87, 34, 27, 6, 96, 23, 59, 64, 92, 75, 25, 85, 42, 41, 83, 18, 73, 63, 7, 86, 72, 33, 40, 13, 95, 99, 60, 98, 1, 31, 82, 46, 66, 28, 97, 58, 5, 44, 43, 21, 56, 88, 29, 9, 35, 37, 74, 19, 89, 71, 77, 16, 81, 26, 22, 53, 50, 76, 79, 69, 3, 2, 15, 17, 67, 12, 70, 4, 100, 57, 65, 36, 84, 20, 47, 10, 52, 11]","(30023.0, 33513.81670359062)"
4,84,[30723.07       34430.89392458],[2551.72531145 2478.62212111],[30023.         33513.81670359],[40024.        43514.6910025],"[14, 39, 80, 90, 55, 62, 24, 51, 78, 61, 54, 48, 93, 38, 45, 8, 30, 49, 32, 68, 94, 91, 87, 34, 27, 6, 96, 23, 59, 64, 92, 75, 25, 85, 42, 41, 83, 18, 73, 63, 7, 86, 72, 33, 40, 13, 95, 99, 60, 98, 1, 31, 82, 46, 66, 28, 97, 58, 5, 44, 43, 21, 56, 88, 29, 9, 35, 37, 74, 19, 89, 71, 77, 16, 81, 26, 22, 53, 50, 76, 79, 69, 3, 2, 15, 17, 67, 12, 70, 4, 100, 57, 65, 36, 84, 20, 47, 10, 52, 11]","(30023.0, 33513.81670359062)"
5,82,[30023.        33674.4851325],[ 0.         65.52897314],[30023.         33513.81670359],[30023.        33778.5135015],"[14, 39, 80, 90, 55, 62, 24, 51, 78, 61, 54, 48, 93, 38, 45, 8, 30, 49, 32, 68, 94, 91, 87, 34, 27, 6, 96, 23, 59, 64, 92, 75, 25, 85, 42, 41, 83, 18, 73, 63, 7, 86, 72, 33, 40, 13, 95, 99, 60, 98, 1, 31, 82, 46, 66, 28, 97, 58, 5, 44, 43, 21, 56, 88, 29, 9, 35, 37, 74, 19, 89, 71, 77, 16, 81, 26, 22, 53, 50, 76, 79, 69, 3, 2, 15, 17, 67, 12, 70, 4, 100, 57, 65, 36, 84, 20, 47, 10, 52, 11]","(30023.0, 33513.81670359062)"
6,94,[30023.         33628.35374436],[ 0.         47.13660729],[30023.         33468.62119011],[30023.         33690.37894607],"[14, 63, 80, 26, 55, 62, 24, 51, 78, 17, 54, 48, 93, 38, 45, 8, 30, 49, 32, 68, 94, 91, 87, 34, 27, 6, 96, 23, 59, 64, 92, 75, 25, 85, 42, 41, 83, 18, 73, 39, 7, 86, 72, 33, 40, 13, 95, 99, 60, 98, 1, 31, 82, 46, 66, 50, 97, 58, 5, 44, 43, 21, 56, 88, 29, 9, 35, 37, 74, 19, 89, 71, 77, 16, 81, 90, 22, 53, 28, 76, 79, 69, 3, 2, 15, 61, 67, 12, 70, 4, 100, 57, 65, 36, 84, 20, 47, 10, 52, 11]","(30023.0, 33468.62119011138)"
7,88,[30023.        33597.3112032],[ 0.         36.44318027],[30023.         33468.62119011],[30023.        33647.5505998],"[14, 63, 80, 26, 55, 62, 24, 51, 78, 17, 54, 48, 93, 38, 45, 8, 30, 49, 32, 68, 94, 91, 87, 34, 27, 6, 96, 23, 59, 64, 92, 75, 25, 85, 42, 41, 83, 18, 73, 39, 7, 86, 72, 33, 40, 13, 95, 99, 60, 98, 1, 31, 82, 46, 66, 50, 97, 58, 5, 44, 43, 21, 56, 88, 29, 9, 35, 37, 74, 19, 89, 71, 77, 16, 81, 90, 22, 53, 28, 76, 79, 69, 3, 2, 15, 61, 67, 12, 70, 4, 100, 57, 65, 36, 84, 20, 47, 10, 52, 11]","(30023.0, 33468.62119011138)"
8,74,[30023.         33575.02376455],[ 0.         28.95581309],[30023.         33468.62119011],[30023.         33608.82817046],"[14, 63, 80, 26, 55, 62, 24, 51, 78, 17, 54, 48, 93, 38, 45, 8, 30, 49, 32, 68, 94, 91, 87, 34, 27, 6, 96, 23, 59, 64, 92, 75, 25, 85, 42, 41, 83, 18, 73, 39, 7, 86, 72, 33, 40, 13, 95, 99, 60, 98, 1, 31, 82, 46, 66, 50, 97, 58, 5, 44, 43, 21, 56, 88, 29, 9, 35, 37, 74, 19, 89, 71, 77, 16, 81, 90, 22, 53, 28, 76, 79, 69, 3, 2, 15, 61, 67, 12, 70, 4, 100, 57, 65, 36, 84, 20, 47, 10, 52, 11]","(30023.0, 33468.62119011138)"
9,94,[30023.         33560.43856158],[ 0.         31.28461336],[30023.       33444.281111],[30023.         33590.19902464],"[16, 73, 93, 42, 48, 66, 7, 34, 80, 79, 43, 72, 98, 50, 95, 45, 5, 37, 51, 92, 14, 96, 10, 58, 64, 17, 25, 2, 78, 65, 32, 63, 74, 91, 88, 70, 47, 30, 68, 87, 13, 55, 12, 8, 44, 85, 62, 27, 29, 97, 18, 81, 82, 31, 35, 20, 15, 99, 94, 9, 24, 75, 83, 77, 41, 36, 90, 56, 22, 71, 54, 6, 40, 76, 26, 21, 60, 33, 49, 11, 46, 1, 53, 38, 84, 4, 52, 3, 57, 39, 69, 28, 61, 86, 100, 19, 59, 89, 23, 67]","(30023.0, 33444.281110997304)"
